feature,importance
traffic_pressure,0.2153478638436414
street_activity,0.16188639831059476
商务住宅_1,0.13765155954915403
购物消费,0.08887119741633875
医疗保健_1,0.08330038780773336
购物消费_1,0.08204110812982371
酒店住宿_1,0.07383661969063274
旅游景点_1,0.0670552458551076
交通设施_1,0.05201985619221219
sky_view,0.03798976320476146
