feature,importance
traffic_pressure,0.29514384829969226
sky_view,0.12336914620361901
公司企业_1,0.0930028894931868
旅游景点_1,0.08804154612840558
walkability,0.07802009159285073
酒店住宿_1,0.07548929131397722
运动健身_1,0.07088528117938597
交通设施_1,0.06669495733625201
green_view,0.05830650657692932
interface_continuity,0.05104644187570108
