cell_id,centroid_lon,centroid_lat,green_view,sky_view,walkability,street_activity
87,121.38709855486061,31.168488742936795,0.26647691373471855,0.21809770442821355,0.026271820068359323,0.0006964118392378614
88,121.38709855486061,31.16925738242218,0.2882504701614382,0.1956973314285278,0.008650517463684063,0.0013293504714965462
89,121.38709855486061,31.17002601567031,0.20683777332305917,0.23467675844828292,0.015592018763224275,0.00025482972462968594
90,121.38709855486061,31.17079464268107,0.21890282630920407,0.24856974018944625,0.010431011517842583,0.00048119492001000346
241,121.38799687014475,31.1661827870579,0.26565014082809973,0.21211773773719525,0.009901309835499668,0.0006677693334118553
242,121.38799687014475,31.166951445254565,0.29156412397112164,0.1764866283961706,0.005327190671648233,0.00043140138898574
243,121.38799687014475,31.167720097214225,0.3229391574859616,0.16497006416320797,0.005962610244750942,0.0005270957946776694
244,121.38799687014475,31.168488742936795,0.22479218244552623,0.23406481742858876,0.00404524803161619,0.0014555454254150035
245,121.38799687014475,31.16925738242218,0.206077039241791,0.21360164880752563,0.09486091136932398,0.0006679296493530093
246,121.38799687014475,31.17002601567031,0.09372703234354653,0.2971325715382893,0.009069204330444317,0.0010197957356770564
247,121.38799687014475,31.17079464268107,0.0626235008239746,0.326413154602051,0.012344042460123732,0.0010032653808593405
250,121.38799687014475,31.173100486288334,0.11482369899749763,0.3437416553497314,0.010627428690592388,0.00040749708811438357
251,121.38799687014475,31.173869088348788,0.1001421538266268,0.36695014346729626,0.005879748951305001,0.0002764355052600821
252,121.38799687014475,31.174637684171454,0.1256444761829992,0.2905540004853279,0.02146270967298936,0.0015753315341087545
394,121.38889518542886,31.16310809190291,0.0,0.0,0.0,0.0
395,121.38889518542886,31.163876775046727,0.040898323059082,0.401796817779541,0.0002398490905761,0.00011444091796875
396,121.38889518542886,31.164645451953884,0.034203767776489265,0.3702621459960937,0.013167063395182256,9.258588155108333e-05
397,121.38889518542886,31.165414122624313,0.17402319113413475,0.272997180620829,0.010612010955810542,0.0033258597056070294
398,121.38889518542886,31.1661827870579,0.15430653095245367,0.26272666454315174,0.001518964767456001,0.0018631815910338891
399,121.38889518542886,31.166951445254565,0.38270918528238934,0.13146257400512676,0.00470097859700512,0.0010663668314615262
400,121.38889518542886,31.167720097214225,0.314152956008911,0.1824018955230715,0.007967948913574201,0.0009140968322753828
401,121.38889518542886,31.168488742936795,0.14498778751918256,0.25153337206159315,0.005104609898158431,0.0008808544703891901
402,121.38889518542886,31.16925738242218,0.13115811347961437,0.2678565979003907,0.01564049720764159,0.0015583833058674622
403,121.38889518542886,31.17002601567031,0.0443865458170573,0.3003490765889483,0.003697554270426367,0.0007961591084797667
404,121.38889518542886,31.17079464268107,0.06082403659820557,0.34326779842376676,0.0108035802841186,0.00019681453704829298
