grid_id,activity_account
9205,0
9049,0
9520,0
9363,0
9677,0
9206,0
9050,0
9207,0
9051,0
9208,0
9052,0
9209,0
9053,0
9210,0
9211,0
7641,0
7954,0
7955,0
7798,0
7956,0
7799,0
7484,0
7642,0
7485,0
7328,0
7486,0
7329,0
7643,0
7487,0
7330,0
7644,0
7171,0
7015,0
7172,0
7016,0
7957,0
7800,0
7958,0
7801,0
7959,0
7802,0
7960,0
7803,0
7961,0
7804,0
7173,0
6859,0
7017,0
7174,0
6860,0
7018,0
7175,0
6861,0
7019,0
6862,0
9995,0
10152,0
10153,0
9996,0
10154,0
9997,0
10309,0
10467,0
10310,0
10468,0
10311,0
10469,0
10624,0
10625,0
10782,0
10626,0
10783,0
10627,0
10155,0
9998,0
9999,0
10156,0
10000,0
10157,0
10001,0
10158,0
10002,0
10159,0
10312,0
10313,0
10470,0
10471,0
10314,0
10472,0
10315,0
10473,0
10316,0
10474,0
10003,0
10160,6
10004,0
10161,0
10162,0
10005,1
10163,2
10006,0
10164,0
10007,0
10317,0
10475,0
10318,6
10476,0
10319,0
10477,0
10320,0
10321,0
10478,0
10322,0
8580,0
8423,0
8581,0
8424,0
8582,0
8893,0
8736,0
8894,0
8737,0
8895,0
8738,0
8739,0
8896,0
8110,0
8267,0
8268,0
8111,0
8269,0
8112,0
8270,0
8425,0
8583,0
8426,0
8584,0
8427,0
8585,0
8428,0
8586,0
8429,0
8587,0
8897,0
8740,0
8898,0
8741,0
8899,0
8742,0
8900,0
8743,0
8901,0
8744,0
8113,0
8271,0
8114,0
8272,0
8115,0
8273,0
8116,0
8274,0
8117,0
8275,0
8430,0
8588,0
8431,0
8589,0
8432,0
8590,0
8433,0
8591,0
8434,0
8592,0
8902,0
8745,0
8903,0
8746,1
8747,0
8904,0
8905,0
8748,72
8906,0
8749,0
8118,0
8276,0
8119,0
8277,0
8120,0
8278,0
8121,0
8279,0
8122,0
8280,0
8435,0
8593,8
8436,0
8594,0
8437,0
8595,0
8438,0
8439,0
8596,1
8597,0
11732,0
11890,0
12047,0
12048,0
12205,0
12206,0
12049,0
12050,0
12207,0
12051,0
12208,0
11733,0
11891,0
11734,0
11892,0
11735,0
11893,0
11736,0
11894,0
11737,0
11895,0
10941,0
11098,0
11256,0
11257,0
11414,0
11258,0
10784,0
10628,0
10785,0
10629,0
10786,0
10787,0
10630,0
10631,0
10788,0
10632,0
10942,0
11099,0
10943,0
11100,0
10944,0
11101,0
10945,0
11102,0
10946,0
11103,0
11572,0
11573,0
11575,0
11576,0
11577,0
11415,0
11259,0
11416,0
11260,0
11417,0
11261,0
11418,0
11262,0
11419,0
11263,0
10789,0
10633,0
10790,0
10634,0
10791,0
10635,0
10792,2
10636,0
10793,0
10637,0
10947,0
11104,0
10948,0
11105,0
10949,0
11106,0
10950,0
11107,0
10951,0
11108,1
11420,0
11578,0
11421,0
11579,0
11422,0
11580,0
11423,0
11581,0
11424,0
11582,0
10794,0
10638,0
10795,0
10796,0
10639,0
10797,0
10640,0
10641,0
10798,0
10799,0
12520,0
12363,0
12521,0
12364,0
12365,0
12366,0
12052,0
12209,0
12210,0
12053,0
12054,0
12211,0
12055,0
12212,0
12056,0
11738,0
11739,0
11896,0
11897,0
11740,0
11741,0
11898,0
11742,0
11899,0
11743,0
11900,0
11901,0
11744,0
11745,0
11746,0
12065,0
12066,0
12223,0
11751,0
11908,0
11909,0
11752,0
11910,0
6703,0
6547,0
6704,0
6548,0
6705,0
6392,0
6706,0
6549,0
6550,0
6393,0
6236,0
6237,0
6238,0
6707,0
6394,0
6708,0
6551,0
6709,0
6395,0
6552,0
6396,0
6710,0
6553,0
6081,0
5925,0
6239,0
6082,0
5926,0
6240,0
6083,0
5927,0
6241,0
6084,0
5770,0
5771,0
6397,0
6554,0
6711,0
6712,0
6555,0
6398,0
6713,0
6556,0
6399,0
6400,0
6085,0
5928,0
6242,0
6086,0
5929,0
6243,0
5930,0
6244,0
6087,0
5931,0
6714,0
6557,0
6401,0
6715,0
6558,0
6402,0
6716,0
6559,0
6560,0
6403,0
5772,0
5615,0
5773,0
5616,0
5774,0
5460,0
5617,0
5775,0
5305,0
6245,0
6088,0
6246,0
5932,0
6089,0
5933,0
6090,0
6247,0
5934,0
6248,0
6717,0
6404,0
6718,0
6561,0
6405,0
6719,0
6562,0
6406,0
6563,0
6720,0
5461,0
5618,0
5462,0
5776,0
5619,0
5777,0
5463,0
5620,0
5778,0
5621,0
6091,0
6092,0
6249,0
5935,0
5936,0
6093,0
6250,0
6094,0
5937,0
6251,0
5779,0
5622,0
6721,0
6407,0
6564,0
6722,0
6408,0
6565,0
6723,0
6409,0
6566,0
6410,0
6095,0
6252,0
6724,0
6567,0
9679,0
9836,0
9680,0
9837,0
9838,0
9681,0
9682,0
9839,0
9364,0
9521,0
9365,0
9522,0
9366,0
9523,0
9367,0
9524,0
9368,0
9525,0
9054,0
9055,0
9212,0
9213,0
9056,0
9057,1
9214,0
9215,0
9058,0
9216,0
9683,0
9840,0
9841,0
9684,0
9685,0
9842,0
9843,0
9686,0
9844,0
9687,0
9369,0
9526,0
9527,0
9370,0
9528,0
9371,0
9529,0
9372,0
9530,0
9373,0
9059,0
9217,0
9060,0
9218,0
9061,0
9062,0
9219,0
9220,0
9063,0
9221,0
9845,0
9688,0
9846,0
9689,0
9847,0
9690,0
9848,0
9691,0
9849,0
9692,0
9374,0
9531,0
9375,0
9532,0
9533,0
9376,0
9534,0
9377,0
9535,0
9378,0
9064,0
9222,0
9065,0
9223,0
9066,0
9224,1
9067,1
9225,0
9068,0
9226,0
9850,0
9693,0
9851,0
9694,0
9852,0
9695,0
9696,0
9853,0
9697,0
9854,0
7488,0
7331,0
7645,0
7489,0
7332,0
7646,0
7490,0
7333,0
7647,0
7334,0
7176,0
6863,0
7177,0
7020,0
6864,0
7178,0
7021,0
6865,0
7022,0
7179,0
7491,0
7648,0
7335,0
7492,0
7649,0
7493,0
7336,0
7650,0
7337,0
7494,0
7962,0
7805,0
7963,0
7806,0
7964,0
7807,0
7965,0
7808,0
7809,0
7966,0
6866,0
7023,0
7180,0
6867,0
7024,0
7181,0
6868,0
7025,0
7182,0
7026,0
7651,0
7652,0
7495,0
7338,0
7653,0
7496,0
7339,0
7654,0
7497,0
7340,0
7810,0
7967,0
7968,0
7811,0
7969,0
7812,0
7970,0
7813,0
7814,0
7971,0
7183,0
6869,0
7027,0
7184,0
6870,0
7028,0
7185,0
6871,0
7029,0
7186,0
7655,0
7341,0
7498,0
7656,0
7342,0
7499,0
7657,0
7343,0
7500,0
7658,0
6872,0
7187,0
7030,0
6873,0
7188,0
7031,0
6874,0
7032,0
6875,0
7189,0
8907,0
8750,0
8908,0
8751,1
8909,0
8752,0
8910,1
8753,0
8911,0
8754,0
8123,0
8281,0
8124,0
8125,0
8282,0
8283,0
8126,0
8284,0
8127,0
8285,0
8440,0
8598,0
8441,0
8599,0
8442,0
8600,0
8443,0
8601,0
8444,0
8445,0
8912,1
8755,0
8913,18
8756,0
8914,19
8757,0
8915,25
8758,0
8916,1
8759,0
8128,0
8286,0
8129,0
8287,0
8130,0
8288,0
8131,0
8289,0
8132,0
8133,0
8602,0
8603,0
8446,0
8604,0
8447,0
8605,0
8448,0
8606,0
8449,0
8607,1
8917,0
8760,0
8761,0
8918,2
8919,0
8762,0
8920,0
8763,0
8764,0
8921,0
8290,0
8134,0
8291,0
8135,0
8292,0
8136,0
8293,0
8137,0
8294,0
8138,0
8450,0
8451,0
8608,0
8452,0
8609,0
8453,1
8610,0
8454,0
8611,0
8455,0
8765,0
8922,0
8766,0
8923,0
8767,0
8924,0
8768,1
8925,0
8769,0
8926,0
9536,0
9379,0
9537,0
9380,0
9381,0
9538,0
9539,0
9382,9
9540,0
9383,12
9069,2
9070,0
9227,8
9071,0
9228,0
9072,3
9229,1
9073,1
9230,0
9074,0
9384,2
9541,0
9385,0
9542,30
9543,0
9386,0
9544,0
9387,0
9388,0
9545,0
9698,0
9855,0
9856,0
9699,0
9857,0
9700,0
9858,0
9701,0
9859,0
9702,0
9231,0
9075,0
9232,0
9076,0
9233,0
9077,0
9234,0
9078,0
9235,0
9079,1
9389,0
9546,0
9390,0
9547,0
9391,1
9548,0
9392,0
9549,0
9393,0
9550,0
9703,0
9860,0
9861,0
9704,0
9705,0
9862,0
9706,0
9863,0
9864,0
9707,0
9236,0
9080,0
9237,0
9081,0
9238,10
9082,1
9239,2
9083,1
9240,0
9084,0
9551,0
9394,0
9395,0
9552,0
9396,1
9553,0
9397,0
9554,1
9398,1
9555,0
9708,0
9865,0
9709,0
9866,0
9710,1
9867,0
9711,0
9868,0
9869,0
9712,0
7344,0
7501,0
7659,3
7502,0
7345,0
7346,0
7503,0
7660,0
7661,0
7347,0
7815,0
7972,0
7816,0
7973,1
7817,0
7974,0
7975,0
7818,0
7976,0
7819,0
7033,0
7190,0
6876,0
6877,0
7034,0
7191,0
6878,0
7035,0
7192,0
7193,0
7504,0
7348,0
7505,0
7662,0
7349,0
7506,0
7663,0
7507,0
7350,0
7664,0
7820,0
7977,0
7821,0
7978,0
7822,0
7979,0
7823,0
7980,0
7824,0
7981,0
7036,0
6879,0
7194,0
6880,0
7037,0
7195,0
7038,0
6881,0
7196,0
6882,0
7508,0
7351,0
7665,0
7509,0
7352,0
7666,0
7510,0
7353,2
7667,0
7511,0
7039,0
7197,0
7354,0
7512,0
7825,0
7668,0
7982,0
7826,0
7983,0
7669,0
7984,0
7827,0
7985,0
7989,0
8295,0
8296,0
8139,0
8140,0
