grid_id,A_original
9205,28.160764933554493
9049,26.483822994454133
9520,22.852096803973435
9363,27.179102185102764
9677,19.979440222433208
9206,28.164554645133588
9050,27.79864503843118
9207,27.40352912228385
9051,31.30159726514223
9208,32.6038892972631
9052,33.31608210872918
9209,32.25952102352118
9053,31.426931081453542
9210,29.22064711977117
9211,29.62164885210333
7641,38.72430471332051
7954,34.733753067016096
7955,40.47900969273201
7798,40.09079017736461
7956,41.017717211759326
7799,45.664241596031
7484,43.69702464035521
7642,42.958201093253365
7485,43.86493370853357
7328,43.9690705885721
7486,44.83763721745637
7329,44.37847239497001
7643,48.96278946980228
7487,48.02675887162404
7330,46.385801982963216
7644,51.76283980783657
7171,50.661195062094265
7015,52.79358822982168
7172,49.20894320307778
7016,52.61210063814191
7957,45.05164369608287
7800,46.50662066162462
7958,49.839840739789416
7801,51.16509999840836
7959,55.42056338261879
7802,55.91186809336575
7960,58.04761237601157
7803,58.82627269683791
7961,62.08143476240743
7804,61.90284603786433
7173,45.82097943988456
6859,52.7750340322551
7017,48.04310193386443
7174,46.35066011652668
6860,52.371255968867295
7018,46.45486045170144
7175,49.08250203031594
6861,49.09839903398788
7019,47.76098865344446
6862,44.60177702430779
9995,24.009563947617472
10152,22.98414018751043
10153,35.360904747548744
9996,29.66505007580932
10154,38.61749741087007
9997,33.73475204052709
10309,28.08838932341305
10467,29.84225208210056
10310,31.52479881665196
10468,33.252693305107584
10311,36.16787437270722
10469,36.90964742050255
10624,29.50865292406076
10625,33.35090215507976
10782,33.67775142905516
10626,38.38694390221559
10783,37.30983383133721
10627,40.59368172691226
10155,42.38950618523651
9998,38.5420218659462
9999,44.27074670411118
10156,44.50027472288815
10000,47.95095628140719
10157,50.6687267915902
10001,53.91694104293733
10158,57.033361963941175
10002,57.752136892609656
10159,63.58428070017766
10312,41.2383349678674
10313,44.04213124407934
10470,43.29860309666264
10471,48.02543839567473
10314,48.99218305884276
10472,51.762939215709245
10315,56.10367592518342
10473,57.97967396271237
10316,62.65540495568409
10474,62.15707528197809
10003,63.21976988676762
10160,67.35527498662918
10004,63.40751286985623
10161,71.96903998791154
10162,71.65225636165792
10005,64.154536950693
10163,66.58674686036856
10006,65.68170241020148
10164,66.30225964033797
10007,67.70916278432985
10317,68.67079257206262
10475,67.14407214402162
10318,72.83445046874017
10476,70.39476420305392
10319,75.17110788937983
10477,70.09116883495984
10320,74.7149258000456
10321,71.3435668823993
10478,65.04292056693944
10322,64.08754682633665
8580,30.45075007380348
8423,28.096267846500645
8581,31.467263927533104
8424,31.569147629375685
8582,32.14719090452682
8893,27.22447386209741
8736,27.79980748609955
8894,30.80876973351531
8737,32.415805133792645
8895,33.583818289192465
8738,32.34201076574159
8739,33.45565498295203
8896,32.69943628661568
8110,30.997100869254982
8267,33.10215035557809
8268,37.10981845792984
8111,38.67933907144139
8269,42.73682268025348
8112,42.60877135645963
8270,42.03231325420237
8425,33.95449029046148
8583,37.93261583656108
8426,37.001098562323655
8584,41.199476396707375
8427,42.0488773121529
8585,49.592018474182346
8428,49.29153782665516
8586,52.83569638582204
8429,52.318363812616944
8587,59.40869340842071
8897,33.86629118944644
8740,36.50611881932127
8898,37.79348922974363
8741,39.18741174273252
8899,42.06167059870442
8742,45.25527318167986
8900,46.9717844961029
8743,50.39814285043565
8901,55.46048250716147
8744,58.16906986961608
8113,42.96727593968658
8271,47.10292296090131
8114,44.37766426164887
8272,51.94777594280935
8115,49.33311709749564
8273,54.48936387048527
8116,54.48136170676175
8274,59.0740316062176
8117,55.01886974549557
8275,62.87447868732309
8430,56.95505896518916
8588,61.41938768865802
8431,60.999247595512784
8589,65.36895106452832
8432,64.61689807998734
8590,76.37951664913392
8433,75.0298671352333
8591,80.01806349743308
8434,76.81413255012234
8592,83.65818746744233
8902,61.969938907668016
8745,61.5921828476452
8903,68.11418830342579
8746,67.88275187289702
8747,80.34399789982184
8904,79.86590807679698
8905,85.57733252698489
8748,83.93741635231808
8906,87.27333001685278
8749,86.3924809475742
8118,61.70648365733671
8276,71.70697350348944
8119,69.74224578714917
8277,76.60317606009866
8120,76.43615809573674
8278,81.28207015467606
8121,80.68385285787878
8279,86.76831185079628
8122,85.59848491895383
8280,89.34432330995237
8435,82.9669227088389
8593,91.3777703590322
8436,88.12430418109449
8594,94.40512159456097
8437,91.42479115208282
8595,94.7792098630456
8438,94.72994762513213
8439,98.78896422449792
8596,95.82688454903024
8597,93.69741856944027
11732,42.2230561618619
11890,40.91985265783379
12047,39.07189623466702
12048,40.86199362923588
12205,38.68752660049171
12206,41.923549203971305
12049,46.15810622515426
12050,48.18380964037325
12207,44.82628961253908
12051,44.88559765567688
12208,41.68454224652159
11733,44.79716054326877
11891,43.93979731554194
11734,48.43264050214925
11892,47.35121723286782
11735,50.75647419536501
11893,51.23205506560944
11736,53.82987970420547
11894,48.83114447982844
11737,52.23928095579347
11895,50.91620465705997
