grid_id,A_original
9205,14.222295894551134
9049,14.060914489682844
9520,13.342306421091603
9363,15.018665683238744
9677,12.06402821495176
9206,14.713710117840172
9050,18.03801846874825
9207,15.100942180061717
9051,17.70374722425113
9208,18.487090181986805
9052,18.670521087596537
9209,17.887170848194263
9053,18.28215998436484
9210,17.73689143649657
9211,18.47663868263761
7641,38.51432804273392
7954,28.39079069440114
7955,31.164416499968954
7798,34.539211012870695
7956,32.32923342696017
7799,36.75323612334969
7484,46.96082260406019
7642,42.80727252116925
7485,48.52673300796727
7328,51.83338204835092
7486,51.36011947811932
7329,52.3801461983299
7643,46.01630773913793
7487,54.748887757140814
7330,54.60183944662131
7644,50.06315671415021
7171,55.122905701898965
7015,54.77070950091417
7172,54.17175953246934
7016,55.51682073083076
7957,35.819418784914376
7800,38.49386752417244
7958,39.19706138251693
7801,45.334478437495314
7959,46.567294578464406
7802,51.40582691689086
7960,48.72118258997863
7803,54.41475408049963
7961,52.77678432651728
7804,57.27093556774492
7173,53.59600840461812
6859,55.90678895029783
7017,55.25114977339856
7174,54.35690454328742
6860,56.364410808650895
7018,56.58046158106864
7175,57.32146464307253
6861,56.42221317161199
7019,58.45692396864659
6862,56.573443809439325
9995,12.425992375105858
10152,12.629555922862318
10153,15.711454416178416
9996,14.45166528246805
10154,17.057602425673796
9997,16.252010917588695
10309,13.635733875954289
10467,13.984729571040514
10310,14.328985279500996
10468,15.684908031160598
10311,16.110463738167525
10469,18.62365041822105
10624,14.005177449245622
10625,15.84334918554816
10782,15.487654037456128
10626,18.138819727983776
10783,16.747621916602224
10627,19.81078571835052
10155,19.366676979459097
9998,19.542951100787256
9999,21.15737931931899
10156,20.601662026782805
10000,23.03877218958566
10157,24.48736214558241
10001,25.380535519907166
10158,27.084241194607195
10002,27.814693140051588
10159,29.63660251877736
10312,19.149612719053675
10313,21.34622202206817
10470,20.75596625146537
10471,23.03985886301131
10314,23.74740746228176
10472,25.632319954180083
10315,26.73173369508208
10473,27.569354096066743
10316,30.840435370616344
10474,30.961774149544247
10003,29.67975413514904
10160,31.685484351985057
10004,29.868232499337967
10161,33.26536498224687
10162,34.066493546327514
10005,30.59965843247353
10163,31.71008747912436
10006,30.920355193152822
10164,30.833292135361862
10007,32.33418075832769
10317,32.64871317154648
10475,34.2166004599029
10318,35.09215781154854
10476,35.282806142693325
10319,35.42775524489769
10477,34.349013824965176
10320,34.47034013870538
10321,33.246922658095606
10478,33.07780283504376
10322,30.42799325247881
8580,18.87728127292931
8423,21.58571955040057
8581,19.18790332137392
8424,20.25930213571934
8582,18.365389022868868
8893,17.344529374820297
8736,18.78308754168248
8894,17.665308401139402
8737,17.972250353525272
8895,18.62742762883794
8738,17.83875106128118
8739,18.898578915708807
8896,18.8553751236824
8110,25.23680873115989
8267,24.357053055307137
8268,23.718332490117863
8111,27.579181195057043
8269,25.914249116961912
8112,28.343042080336787
8270,27.71427226592607
8425,20.88340039009224
8583,21.997005956832883
8426,22.113138752893214
