grid_id,A_original
9205,33.8674551310519
9049,33.54054118824095
9520,26.847072872454422
9363,32.85812547576396
9677,25.00555519700462
9206,33.76148779924346
9050,35.53655576733851
9207,34.24029043093672
9051,34.148242105814745
9208,33.8618118683439
9052,37.70809359969829
9209,35.741540341075655
9053,37.405106565486456
9210,34.484246282411235
9211,36.618202903849536
7641,66.19805161040013
7954,50.66420687510773
7955,58.32494152108843
7798,60.35726918825902
7956,63.40467321152348
7799,67.94418518727308
7484,78.25212045675717
7642,68.31159248629089
7485,77.62921568382332
7328,77.41167945088091
7486,77.43948461105211
7329,79.59002570967621
7643,70.6241170236503
7487,80.27763009092483
7330,82.45100344936819
7644,69.60121017228107
7171,84.64806109213835
7015,85.60177344159621
7172,83.23430594439071
7016,84.7006391893293
7957,67.75701220822847
7800,69.4520799030543
7958,72.40614112690545
7801,73.44428819495499
7959,76.61358952267649
7802,73.68239926468246
7960,74.13466801639578
7803,76.97513815512566
7961,79.6771159259058
7804,83.16116866219579
7173,79.89919804205493
6859,84.91401803771625
7017,82.50049063973461
7174,80.8172685597666
6860,85.76776366749671
7018,82.2607883437177
7175,83.78960665800876
6861,85.43274115610842
7019,82.97516108751496
6862,82.0982476934467
9995,27.196855365255736
10152,26.676197452025075
10153,30.67519629560883
9996,31.48037133445916
10154,34.959650293441804
9997,38.33627943848369
10309,25.328361716658385
10467,26.93397483668484
10310,27.92377648909889
10468,30.848804728929508
10311,32.08541518607223
10469,37.489871999025326
10624,27.22311676713305
10625,30.8901793461747
10782,32.49073008951138
10626,38.76496578561156
10783,36.52800806338632
10627,40.9263515989928
10155,40.65252602363328
9998,42.98028986997252
9999,46.97495676506818
10156,43.363441200498094
10000,48.89251477151612
10157,49.79510240157149
10001,53.61949642567417
10158,54.7095227245725
10002,56.70949511976729
10159,58.313570751564896
10312,37.00375913483673
10313,41.99839468062885
10470,41.15835308842059
10471,45.11324010620813
10314,47.69028626291063
10472,50.90125429387471
10315,52.84935872342705
10473,55.6034266974532
10316,61.61918272821367
10474,59.94684759438689
10003,58.91108075730752
10160,60.15957455624057
10004,58.51275759918236
10161,59.854585531989365
10162,61.38236851233303
10005,59.37509374786548
10163,59.27320468470728
10006,60.18105656753924
10164,59.86577860310475
10007,59.61536815200325
10317,64.03107902685804
10475,66.45423994264556
10318,66.900706146728
10476,67.01804709570632
10319,66.91745150506502
10477,61.70045376844185
10320,63.99710868044933
10321,63.61992549490995
10478,61.70891788929712
10322,59.43422990724589
8580,43.32821697020292
8423,44.31962170108928
8581,43.93337045522225
8424,45.1612865249808
8582,44.22483636344983
8893,35.16833181080385
8736,38.4835324867472
8894,36.14151791517475
8737,39.20254714803825
8895,38.63862788936307
8738,39.798261054296205
8739,42.46008470658555
8896,38.75099749175509
8110,49.35273970988486
8267,47.21957170006453
8268,51.83676557816658
8111,55.330553860701926
8269,59.15576962855978
8112,59.66530637592134
8270,60.11510646616858
8425,48.89032392741244
8583,49.613236645107776
8426,50.88779340288647
8584,54.81144384026503
8427,58.27924945853481
8585,61.2744983886931
8428,64.00683086492158
8586,64.60423284635793
8429,67.07924258413011
8587,68.11359710705489
8897,40.52031078428104
8740,46.70427956144298
8898,44.541004603355
8741,49.79659708289568
8899,53.55353613801625
8742,57.89430882892293
8900,56.99924923237388
8743,59.72899199856852
8901,61.65042851260064
8744,64.96975011783044
8113,62.92364482610983
8271,66.74735327528914
8114,67.74396045785593
8272,71.50333011770348
8115,72.92774126184972
8273,74.302027602891
8116,75.831121523566
8274,74.72883098053154
8117,73.34462871150762
8275,77.79921903947162
8430,71.1595409556092
8588,70.0793836057334
8431,71.69835935327319
8589,73.49097466448461
8432,72.97334495914102
8590,78.8847977643364
8433,79.30655755100858
8591,78.97969018531
8434,79.17884522754152
8592,83.64694507829918
8902,65.60249131404777
8745,68.78920784252159
8903,69.61942286659686
8746,70.29374704244914
8747,76.16086820905693
8904,75.2232570575029
8905,77.97777055214767
8748,79.32472547859433
8906,82.28606733802269
8749,85.7232373410692
8118,79.550260358622
8276,80.4222895235243
8119,82.11265570629647
8277,82.4451879780006
8120,85.24770255759388
8278,88.03155608425443
8121,88.58531374115665
8279,90.0545500522404
8122,93.4455767226952
8280,92.62750307108298
8435,86.08108741213557
8593,88.160485871671
8436,90.63280806770436
8594,90.50622273252468
8437,91.78164784599504
8595,90.30464149006283
8438,93.3490022566205
8439,97.2131248759291
8596,91.65645179174604
8597,89.70050967332914
11732,44.20343946256296
11890,42.28224352069704
12047,40.53936770104132
12048,43.0866768018126
12205,39.95988668538633
12206,41.93726743437151
12049,46.942393650786855
12050,48.72258422555743
12207,47.33029926011224
12051,50.04061519726584
12208,48.05872735578456
11733,45.42662562539675
11891,44.31951446255202
11734,48.63515526483543
11892,48.66413770692211
11735,52.13885093649972
11893,51.42914919664491
11736,54.466101273157456
11894,53.0248540855573
